text,date_min,date_max,dialect_group,dialect,region,town,longitude,latitude,type,lexeme,outcome,preceding_eir,meter
"AD 18 A (1963) 8,13",-275,-250,doric,rhodian,rhodos,rhodos,28.227611,36.443113,honorary,καλλίσταν,1,0,elegiac
"AD 18 A (1963) 8,13",-275,-250,doric,rhodian,rhodos,rhodos,28.227611,36.443113,honorary,εἰναλίαι,1,1,elegiac
"AD 18 A (1963) 8,13",-275,-250,doric,rhodian,rhodos,rhodos,28.227611,36.443113,honorary,ὁσίαν,1,1,elegiac
"AD 18 A (1963) 8,13",-275,-250,doric,rhodian,rhodos,rhodos,28.227611,36.443113,honorary,σφετέραι,1,1,elegiac
"AD 18 A (1963) 8,13",-275,-250,doric,rhodian,rhodos,rhodos,28.227611,36.443113,honorary,ἅδε,1,0,elegiac
"AD 18 A (1963) 8,13",-275,-250,doric,rhodian,rhodos,rhodos,28.227611,36.443113,honorary,Ἀγήμονος,1,0,elegiac
"AD 18 A (1963) 8,13",-275,-250,doric,rhodian,rhodos,rhodos,28.227611,36.443113,honorary,δᾶμος,1,0,elegiac
"AD 18 A (1963) 8,13",-275,-250,doric,rhodian,rhodos,rhodos,28.227611,36.443113,honorary,τᾶιδε,1,0,elegiac
"AD 18 A (1963) 8,13",-275,-250,doric,rhodian,rhodos,rhodos,28.227611,36.443113,honorary,τὰν,1,0,elegiac
"AD 18A (1963) 16,22",-299,-200,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,μένης,0,0,elegiac
"AD 18A (1963) 16,22",-299,-200,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,μνείαν,1,1,elegiac
"AD 18A (1963) 16,22",-299,-200,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,τήνδε,0,0,elegiac
"AM 20 (1895) 228,2",-99,-1,doric,rhodian,rhodos,Ialysos,28.143,36.399,funerary,εὐνασάμην,0,0,elegiac
"AM 20 (1895) 228,2",-99,-1,doric,rhodian,rhodos,Ialysos,28.143,36.399,funerary,ἀρετῆς,0,0,elegiac
"AM 20 (1895) 228,2",-99,-1,doric,rhodian,rhodos,Ialysos,28.143,36.399,funerary,πάσης,0,0,elegiac
"AM 20 (1895) 228,2",-99,-1,doric,rhodian,rhodos,Ialysos,28.143,36.399,funerary,ἔστην,0,0,elegiac
"AM 20 (1895) 228,2",-99,-1,doric,rhodian,rhodos,Ialysos,28.143,36.399,funerary,δήμου,0,0,elegiac
"AM 21 (1896) 43,11",-199,-175,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,τέχνηι,0,0,elegiac
"AM 21 (1896) 43,11",-199,-175,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,πινυτᾶτι,1,0,elegiac
ASAA 2 (1916) nr. 28 p.151,-199,-100,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,ὀλοὴν,0,0,elegiac
ASAA 2 (1916) nr. 28 p.151,-199,-100,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,Ἀίδηι,0,0,elegiac
ASAA 2 (1916) nr. 28 p.151,-199,-100,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,στῆλαι,0,0,elegiac
ASAA 2 (1916) nr. 28 p.151,-199,-100,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,σᾶμα,1,0,elegiac
ASAA 2 (1916) nr. 28 p.151,-199,-100,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,τὴν,0,0,elegiac
"BCH 36 (1912) 230,1",-220,-210,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,αἴης,0,1,elegiac
"BCH 36 (1912) 230,1",-220,-210,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,τραφερὴν,0,1,elegiac
"BCH 36 (1912) 230,1",-220,-210,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,σῆμα,0,0,elegiac
CEG II 689 = SEG 14-509,-299,-275,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,σῆι,0,0,pentameter
CEG II 689 = SEG 14-509,-299,-275,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,Ἀντιγόνη,0,0,pentameter
CEG II 689 = SEG 14-509,-299,-275,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,ἀείμνηστον,0,0,pentameter
CEG II 689 = SEG 14-509,-299,-275,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,μητρί,0,0,pentameter
CEG II 690,-375,-325,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,σωφροσύνας,1,0,mixed hexameter/pentameter
CEG II 690,-375,-325,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,ἀρετᾶς,1,0,mixed hexameter/pentameter
CEG II 690,-375,-325,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,φιλίας,1,1,mixed hexameter/pentameter
CEG II 690,-375,-325,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,Δαμοκλῆς,1,0,mixed hexameter/pentameter
CEG II 690,-375,-325,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,ἔστασεν,1,0,mixed hexameter/pentameter
CEG II 690,-375,-325,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,μνημόσυνον,0,0,mixed hexameter/pentameter
CEG II 691,-399,-300,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,ἁλικίαν,1,1,elegiac
CEG II 691,-399,-300,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,ἁλικίαν,1,0,elegiac
CEG II 692,-399,-300,doric,rhodian,rhodos,rhodos,28.227611,36.443113,funerary,πάσης,0,0,elegiac
